1092,1,1,3.80,0.00,-10.20,5.00,0.00,0.00,0.00,3.80,3.00,142.00,12.00,151.00,1.00
1092,2,2,7.90,0.00,-9.90,5.00,0.00,0.00,0.00,7.90,3.00,107.00,152.00,107.00,2.00
1092,3,3,11.90,0.00,-10.20,5.00,0.00,0.00,0.00,11.90,3.00,48.00,136.00,18.00,3.00
1092,4,4,14.80,0.00,-10.30,5.00,0.00,0.00,0.00,14.80,3.00,61.00,127.00,154.00,4.00
1092,5,5,18.30,0.00,-9.90,5.00,0.00,0.00,0.00,18.30,3.00,27.00,9.00,60.00,5.00
1092,6,6,21.80,0.00,-10.00,5.00,0.00,0.00,0.00,21.80,3.00,38.00,64.00,60.00,6.00
1092,7,7,25.00,0.00,-10.40,5.00,0.00,0.00,0.00,25.00,3.00,120.00,119.00,149.00,7.00
1092,8,8,29.10,0.00,-10.10,5.00,0.00,0.00,0.00,29.10,3.00,91.00,87.00,131.00,8.00
1092,9,9,33.10,0.00,-9.60,5.00,0.00,0.00,0.00,33.10,3.00,1.00,112.00,172.00,9.00
1092,10,10,36.10,0.00,-10.10,5.00,0.00,0.00,0.00,36.10,3.00,31.00,140.00,48.00,10.00
